d1,d2,d3,l
108,201,99,5
104,197,190,5
107,216,98,5
108,215,147,5
107,198,103,5
108,218,102,5
108,228,133,5
107,203,96,5
104,175,188,5
103,203,176,5
107,228,92,5
108,201,99,5
108,215,149,5
108,222,143,5
104,198,196,5
108,214,107,5
108,204,110,5
104,196,196,5
109,176,180,5
104,194,197,5
107,213,100,5
108,221,148,5
106,212,89,5
107,226,131,5
108,218,141,5
107,220,97,5
109,214,140,5
108,210,107,5
108,213,104,5
104,158,161,5
104,167,161,5
104,196,198,5
104,188,156,5
103,202,149,5
103,169,157,5
106,219,71,5
103,194,187,5
104,186,182,5
103,211,180,5
103,193,185,5
104,199,204,5
103,206,187,5
103,191,190,5
104,171,159,5
104,182,189,5
105,149,193,5
107,196,70,5
103,185,184,5
109,216,145,5
109,204,110,5
108,226,105,5
104,182,190,5
108,228,143,5
103,193,181,5
108,226,145,5
104,198,196,5
108,221,139,5
108,213,132,5
106,243,64,5
109,211,154,5
108,220,147,5
104,198,194,5
104,198,193,5
66,160,157,0
66,162,159,0
66,164,160,0
67,167,154,0
65,133,201,0
66,162,160,0
67,156,149,0
67,159,147,0
67,159,190,0
67,146,188,0
67,145,189,0
66,137,193,0
66,150,200,0
66,153,200,0
67,145,200,0
65,140,190,0
64,131,169,0
66,124,168,0
66,162,190,0
68,146,168,0
67,134,167,0
66,151,194,0
67,170,176,0
66,137,180,0
66,145,199,0
61,130,232,0
66,155,160,0
67,153,191,0
62,131,216,0
67,148,158,0
66,163,151,0
68,155,158,0
68,146,155,0
68,153,190,0
66,153,157,0
67,152,170,0
67,151,153,0
66,162,162,0
66,146,182,0
68,155,161,0
68,169,179,0
67,165,186,0
66,153,202,0
67,160,187,0
66,137,191,0
67,163,150,0
67,160,178,0
67,155,187,0
67,166,190,0
67,153,149,0
66,166,191,0
67,161,187,0
66,142,187,0
64,129,179,0
66,157,161,0
66,162,191,0
65,133,174,0
66,151,155,0
67,155,194,0
66,152,198,0
66,158,190,0
67,156,149,0
68,149,166,0
67,150,191,0
67,166,155,0
66,154,197,0
65,167,148,0
67,157,156,0
67,153,152,0
67,154,159,0
67,164,159,0
65,162,153,0
67,137,169,0
66,158,151,0
68,163,161,0
67,164,152,0
66,152,181,0
66,135,196,0
66,161,198,0
65,155,188,0
67,167,191,0
67,169,152,0
67,151,184,0
66,158,160,0
66,157,187,0
67,162,191,0
67,167,156,0
66,163,160,0
67,158,158,0
67,156,160,0
67,154,190,0
67,163,158,0
68,156,161,0
66,139,190,0
65,138,184,0
65,136,187,0
68,143,170,0
68,151,154,0
66,149,197,0
67,157,195,0
67,153,148,0
62,125,239,0
66,156,150,0
66,161,199,0
67,148,157,0
62,129,223,0
67,153,148,0
67,151,193,0
66,137,194,0
66,153,197,0
66,165,150,0
66,163,159,0
67,152,179,0
67,154,174,0
68,156,160,0
68,148,165,0
66,163,161,0
62,132,238,0
67,155,180,0
66,158,182,0
66,141,186,0
66,160,161,0
67,154,171,0
67,152,169,0
66,151,201,0
66,140,197,0
66,153,201,0
67,149,199,0
66,151,195,0
68,153,158,0
67,152,184,0
65,143,186,0
68,159,172,0
65,135,193,0
67,161,197,0
68,157,159,0
66,161,191,0
66,135,196,0
68,160,157,0
64,152,202,0
64,148,202,0
64,146,202,0
66,157,183,0
65,143,196,0
67,151,193,0
66,139,193,0
67,129,216,0
65,156,153,0
68,158,168,0
68,156,168,0
68,171,187,0
66,162,156,0
65,138,192,0
65,142,190,0
63,142,205,0
67,150,156,0
68,159,161,0
67,141,164,0
67,149,157,0
66,157,159,0
67,158,190,0
66,160,172,0
65,148,196,0
66,153,168,0
67,151,210,0
66,161,196,0
67,164,184,0
68,150,156,0
67,143,202,0
67,160,156,0
66,151,203,0
68,153,162,0
66,154,156,0
66,152,164,0
67,154,167,0
64,145,200,0
68,158,167,0
67,146,190,0
68,160,159,0
66,151,192,0
66,154,191,0
68,161,159,0
67,155,181,0
66,156,194,0
64,158,199,0
67,155,161,0
66,160,191,0
66,152,154,0
66,146,191,0
67,162,198,0
68,159,152,0
67,161,190,0
67,151,154,0
67,158,168,0
66,163,153,0
63,148,201,0
65,147,199,0
67,141,164,0
67,145,156,0
67,149,156,0
66,151,193,0
67,149,151,0
68,156,167,0
67,162,153,0
67,152,190,0
66,161,154,0
66,149,158,0
66,164,157,0
67,155,150,0
66,158,191,0
68,159,160,0
63,146,201,0
67,158,158,0
67,154,162,0
66,154,191,0
66,157,161,0
67,155,167,0
67,165,185,0
67,160,186,0
67,148,159,0
67,170,178,0
66,153,188,0
66,160,194,0
66,152,189,0
66,162,154,0
101,20,238,1
90,16,225,1
107,28,255,1
98,19,204,1
105,24,193,1
104,22,187,1
102,23,251,1
95,16,192,1
93,15,191,1
105,24,250,1
101,20,196,1
87,13,190,1
109,28,238,1
95,17,183,1
104,26,252,1
95,22,192,1
107,27,249,1
95,19,226,1
95,17,230,1
95,15,184,1
98,15,191,1
107,25,196,1
87,14,187,1
95,16,188,1
95,19,201,1
95,15,191,1
95,17,199,1
95,17,195,1
99,19,255,1
98,17,229,1
100,23,239,1
101,18,221,1
90,17,225,1
95,15,191,1
103,26,250,1
95,15,228,1
98,15,191,1
93,14,183,1
101,19,229,1
95,17,200,1
95,17,225,1
104,21,233,1
109,25,246,1
102,23,243,1
104,21,228,1
105,26,250,1
107,20,236,1
90,16,191,1
101,18,197,1
106,23,242,1
95,19,231,1
101,19,227,1
102,23,240,1
95,15,228,1
104,21,234,1
95,16,205,1
98,18,208,1
92,17,226,1
101,18,210,1
98,15,191,1
95,15,226,1
101,21,230,1
102,24,237,1
105,21,237,1
101,24,203,1
101,21,196,1
93,17,181,1
95,18,188,1
104,26,255,1
109,25,245,1
103,26,245,1
87,16,188,1
105,21,233,1
95,15,184,1
95,18,195,1
105,19,201,1
101,22,220,1
101,24,205,1
95,16,189,1
103,29,255,1
95,15,205,1
95,17,226,1
111,23,245,1
106,26,255,1
90,16,191,1
95,15,192,1
95,20,230,1
90,14,225,1
106,23,241,1
90,14,223,1
105,22,237,1
102,22,255,1
102,26,215,1
95,17,231,1
90,16,189,1
106,23,239,1
87,14,182,1
35,15,231,1
38,12,230,1
90,17,183,1
102,26,223,1
101,19,228,1
104,25,194,1
35,9,229,1
95,20,190,1
93,17,179,1
93,16,177,1
102,23,239,1
93,17,180,1
93,15,183,1
101,17,221,1
104,21,226,1
95,14,226,1
95,18,215,1
51,8,229,1
42,6,222,1
106,24,236,1
95,15,225,1
101,19,228,1
85,17,183,1
83,4,236,1
83,4,238,1
95,16,190,1
95,17,183,1
108,40,239,1
105,20,225,1
95,15,226,1
96,14,182,1
83,5,216,1
98,15,183,1
83,5,218,1
85,17,183,1
85,16,189,1
98,20,193,1
95,22,195,1
90,16,189,1
66,11,237,1
103,18,224,1
95,17,192,1
104,16,203,1
105,21,240,1
95,17,226,1
95,15,208,1
101,21,237,1
105,21,238,1
85,14,221,1
105,19,201,1
95,15,202,1
87,14,185,1
85,16,186,1
95,14,204,1
101,15,224,1
90,17,183,1
85,14,221,1
95,16,191,1
105,22,235,1
